"Rwreg Nr.
(Fcode: 0x03, 0x06)",Wertebereich,"Zugeordnete Größe
und Einheit",Messwerteigenschaft,protected
0,0 .. 65535 [0],,Kundencode: MB-NE4-V1.0 (Microchip-Version)*,
,,,,
95,"0, 129 … 256 [90]",,Sensornummer für GMZ4000 - (Par.52 Mode 1),x
50,1 … 247 [1],,Modbus-Geräteadresse *,x
52,0 … 4 [0],,Modbus Mode *,x
99,0 … 65535,,Arbeitsweise vom Werk *,x
,,,,
10,0 … 16383,,Wert im Nullpunkt *,
11,0,0,Sensorwert Nullpunkt = 0 * (für Anzeigenausgabe) ,
12,0 … 16383,,Wert bei Prüfgasaufgabe (bei 100% Prüfgas darf Wert von 16000 nicht überschritten werden)*,
13,0 … 10000,0 … 10000 ppm,Konzentration des Prüfgases "500=500ppm oder 2000=2000ppm" *,
,,,,
15,0 … 10000 [0],0 … 10000 ppm [0 ppm],Wert Nullpunkt "Anzeige im Display etc.." *,
16,0 … 2500 [400],"0 … 25,00 mA [4 mA]",Ausgangsstrom im Nullpunkt "400=4.00mA" *,
17,0 … 10000 [1000],0 … 10000 ppm [1000ppm],Wert Endpunkt "Anzeige im Display etc.." *,
18,0 … 2500 [2000],"0 … 25,00 mA [20 mA]",Ausgangsstrom Endpunkt "2000=20.00mA" *,
22,0 … 7,,Zuschalten vor Hardwareverstärkung ..5..6..7 (hoch) *,
,,,,
20,0 / 1,,Status (Auswerte IC) (keine Eingabemöglichkeit),
21,0 / 1,,Lock (Auswerte IC) *,
23,0 … 3,,RLOAD (Auswerte IC) *,
24,0 / 1,,REF_Source (Auswerte IC) *,
25,0 … 3,,INT_Z (Auswerte IC) *,
26,0 / 1,,BIAS_Sign (Auswerte IC) *,
27,0 … 13,,BIAS (Auswerte IC) *,
28,0 / 1,,FET_Short (Auswerte IC) *,
29,0 … 7,,OP_Mode (Auswerte IC) *,
30,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei -20°C *,
31,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 0°C *,
32,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 10°C *,
33,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 20°C *,
34,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 30°C *,
35,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 40°C *,
36,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 60°C *,
,,,,
2,0 … 10000 [11111],0 … 10000 ppm,Messwertvorgabe für Testzwecke,
3,0 … 2500 [11111],"0 … 25,00 mA",Ausgangsstrom vorgeben für Testzwecke,
4,-200 … 600 [11111],"-20,0 … 60,0 °C",Temperatur vorgeben für Testzwecke,
42,0 … 16000 [11111],,Sensor AD-Wert vorgeben für Testzwecke,
,,,,
49,0 … 65535,,Neustart / Grunddaten / entsichern,
,,,,
51,0 … 3 [1],,Modbus Baudrate *,x
53,10 .. 1000 [180],,Kalibrierwert Ausgangsstrom 4mA *,x
54,10 … 1000 [900],,Kalibrierwert Ausgangsstrom 20mA *,x
,,,,
96,0 … 65535,,Einschaltzähler *,x
97,0 … 65535,,Betriebsstunden *,x
98,0 … 65535,,Gerätekennung vom Werk *,x
