"Rwreg Nr.
(Fcode: 0x03, 0x06)",Wertebereich,"Zugeordnete Größe
und Einheit",Messwerteigenschaft
0,0 .. 65535 [0],,Kundencode: zur freien Belegung z.B. Raumcode
,,,
2,0 … 10000 [11111],0 … 1000 ppm,Messwertvorgabe für Testzwecke
3,0 … 2500 [11111],"0 … 25,00 mA",Ausgangsstrom vorgeben für Testzwecke
4,-200 … 600 [11111],"-20,0 … 60,0 °C",Temperatur vorgeben für Testzwecke
,,,
10,0 … 16383 [1000],,Sensorspannung im Nullpunkt*
11,0,0,Sensorwert Nullpunkt = 0
12,0 … 16383 [8000],,Sensorspannung im Kalibrierpunkt ( bei Endwert)
13,0 … 10000 [1000],0 … 1000 ppm,Sensorwert im Kalibrierpunkt (bei Endwert)
,,,
15,0 … 10000 [0],0 … 1000 [0 ppm],Messwert unten für Ausgangsstrom unten
16,0 … 2500 [400],"0 … 25,00 [4 mA]",Ausgangsstrom im unteren Punkt
17,0 … 10000 [1000],0 … 1000 [1000ppm],Messwert oben für Ausgangsstrom oben
16,0 … 2500 [2000],"0 … 25,00 [20 mA]",Ausgangsstrom im oberen Punkt
,,,
20,0 … 16383 [1000],,Sensorspannung im Nullpunkt
21,0,0,Sensorwert Nullpunkt = 0
22,0 … 16383 [8000],,Sensorspannung im Kalibrierpunkt ( bei Endwert)*
23,0 … 10000 [2000],0 … 1000 ppm,Sensorwert im Kalibrierpunkt (bei Endwert)
,,,
25,0 … 10000 [0],0 … 1000 [0 ppm],Messwert unten für Ausgangsstrom unten
26,0 … 2500 [400],"0 … 25,00 [4 mA]",Ausgangsstrom im unteren Punkt
27,0 … 10000 [1000],0 … 1000 [1000ppm],Messwert oben für Ausgangsstrom oben
26,0 … 2500 [2000],"0 … 25,00 [20 mA]",Ausgangsstrom im oberen Punkt
,,,
33,0 /1 [0],,"Verstärkung CO 0 = hoch, 1 = ca. halb"
34,0 … 16000 [11111],,Sensor AD-Wert vorgeben für Testzwecke
,,,
37,1 ... 100 [10],,Faktor für Mittelwertbildung (CO)
,,,
41,0 /1 [0],,"Verstärkung NO2 0 =hoch, 1 = ca. halb"
42,0 … 16000 [11111],,Sensor AD-Wert vorgeben für Testzwecke
,,,
45,1 ... 100 [10],,Faktor für Mittelwertbildung (NO2)
,,,
50,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei -20°C
51,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 0°C
52,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 10°C
53,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 20°C
54,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 30°C
55,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 40°C
56,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 60°C
,,,
58,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei -20°C
59,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 0°C
60,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 10°C
61,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 20°C
62,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 30°C
63,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 40°C
64,50 ... 200 [100],"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 60°C
,,,
79,0 … 65535,,Neustart / Grunddaten / entsichern
80,1 … 247 [1],,Modbus-Geräteadresse	*
81,0 … 3 [1],,Modbus Baudrate	*
82,0 … 4 [0],,Modbus Mode	*
83,10 .. 1000 [180],,Kalibrierwert Ausgangsstrom 4mA	*
84,10 … 1000 [900],,Kalibrierwert Ausgangsstrom 20mA	*
,,,
95,"0, 129 … 256 [90]",,Sensornummer für MCS4000 - Mode
96,0 … 65535,,Einschaltzähler	*
97,0 … 65535,,Betriebsstunden	*
98,0 … 65535,,Gerätekennung vom Werk	*
99,0 … 65535,,Arbeitsweise vom Werk	*
